Conductivity,Cu,Cu-327nm_predict,Ni-232nm_predict,Zn-214nm_predict,Pb-406nm_predict
3500,10,10331.30552,1853.644453,31603.64558,19434.13681
3500,10,10366.05854,1944.576715,30808.89507,19227.45989
3500,10,9605.84148,1436.561331,31197.39314,19528.3806
3500,10,10473.12831,1708.771608,30673.03623,19791.94318
3500,10,10302.50048,1837.331573,30232.29349,18654.04315
3500,10,10608.21024,1857.001089,30482.79875,18559.74416
3500,10,10009.66378,1547.656426,30389.81326,18786.19421
3500,10,10329.33727,2107.862764,31833.43189,18068.35148
3500,10,10067.03408,1660.518553,30087.83859,18288.45264
3500,10,10471.69513,1697.077288,31077.19025,17862.40535
3500,10,10521.61957,1846.073959,31480.23892,17817.11624
3500,10,10293.11629,1772.565576,31185.07708,17767.08767
3500,10,10302.97342,1853.156063,31583.80689,17415.86345
3500,10,10248.96973,1999.0039,30720.22877,17266.46063
3500,10,10340.58355,1844.081863,31010.76673,17737.65104
3500,10,10558.25843,1745.750657,29332.83586,16752.44453
3500,10,10347.33612,1644.999395,30694.3376,16689.26604
3500,10,11033.64148,1865.959805,30861.12406,16822.35847
3500,10,10487.88641,1968.082114,32390.39954,17922.8425
3500,20,16087.93928,3739.26996,40429.33855,32983.17308
3500,20,17909.76637,4866.892524,41975.96264,32598.75159
3500,20,18186.82833,4879.392323,41088.46556,31979.77858
3500,20,15622.27252,4137.549173,40723.99363,30885.02271
3500,20,16365.54711,3766.649084,41141.46903,30332.77335
3500,20,17460.26791,4663.003606,40885.91145,30297.84189
3500,20,16568.12089,4361.241674,41314.46305,30220.66532
3500,20,18051.60736,4755.0088,40547.80669,28957.99913
3500,20,17695.38741,4714.232783,41840.30691,30206.23425
3500,20,17857.18201,4860.514824,41573.09291,29781.30722
3500,20,18762.31389,5267.647915,43628.86163,29132.409
3500,20,17639.06849,4210.792596,42208.04132,28936.66476
3500,20,19600.6023,5259.909092,41725.08579,28361.6191
